metric,value,unit,source
participants_total,562,personas,sample_summary.csv
participants_experimental,281,personas,sample_summary.csv
participants_control,281,personas,sample_summary.csv
analytical_families,281,familias,sample_summary.csv
active_intervention_weeks,18,semanas,sample_summary.csv
active_window_sessions,1325,sesiones,usage_summary.csv
active_window_messages,10212,mensajes,usage_summary.csv
technical_sessions_total,6463,sesiones,usage_summary.csv
technical_messages_total,47670,mensajes,usage_summary.csv
technical_session_duration_mean,6.3758,minutos,usage_summary.csv
stress_pre_experimental,17.88612099644128,puntaje_promedio,prepost_summary.csv
stress_post_experimental,12.455516014234876,puntaje_promedio,prepost_summary.csv
stress_improvement_percent_experimental,30.362116991643457,porcentaje,prepost_summary.csv
anxiety_pre_experimental,12.822064056939501,puntaje_promedio,prepost_summary.csv
anxiety_post_experimental,8.832740213523131,puntaje_promedio,prepost_summary.csv
anxiety_improvement_percent_experimental,31.112961421038026,porcentaje,prepost_summary.csv
depression_pre_experimental,12.519572953736654,puntaje_promedio,prepost_summary.csv
depression_post_experimental,8.807829181494663,puntaje_promedio,prepost_summary.csv
depression_improvement_percent_experimental,29.647527003979523,porcentaje,prepost_summary.csv
mspss_pre_experimental,2.69,puntaje_promedio,mspss_summary.csv
mspss_post_experimental,4.48,puntaje_promedio,mspss_summary.csv
mspss_improvement_percent_experimental,66.44,porcentaje,mspss_summary.csv
nlp_historical_records,1020,registros,nlp_metrics_historical.csv
nlp_historical_categories,9,categorias,nlp_metrics_historical.csv
nlp_historical_accuracy,0.93,proporcion,nlp_metrics_historical.csv
nlp_operational_records,6463,registros,nlp_metrics.csv
nlp_operational_categories,7,categorias,nlp_metrics.csv
nlp_operational_accuracy,1.0,proporcion,nlp_metrics.csv
