code,instrument,items_or_structure,construct_or_role,application,public_reporting
SOCIO14,Sociodemográfico,14 campos,Caracterización y variables de control,Basal; ambos grupos,Solo descriptivos agregados
DASS21,DASS-21 contextualizado,21 reactivos,"Estrés, ansiedad y depresión",Pre-post; ambos grupos,Resultados agregados por dimensión
MSPSS12,MSPSS,12 reactivos,Apoyo social percibido,Pre-post; ambos grupos,Resultado oficial agregado
APOYO_AUX,Índice auxiliar de apoyo,Indicador auxiliar,Apoyo percibido secundario,Pre-post; ambos grupos,Separado de MSPSS
WHOQOL26,WHOQOL-BREF,26 reactivos,Calidad de vida; 4 dominios,Pre-post; ambos grupos,Resultados agregados 0-100
UTIL10,EUA-neuroguIA,10 reactivos,Usabilidad y aceptabilidad,Post; experimental,Agregado descriptivo
APOYO10,EEP-neuroguIA,10 reactivos,Empatía percibida y acompañamiento,Post; experimental,Estructura metodológica
EAPC12,EAPC-neuroguIA,12 reactivos,Accesibilidad y pertinencia cultural,Post; experimental,Estructura metodológica
PRE5,Pretest descriptivo,5 campos,Condiciones y expectativas iniciales,Pre; experimental,Descriptivo
POST5,Postest descriptivo,5 campos,Satisfacción y continuidad,Post; experimental,Descriptivo
