case_id,family_id,profile_id,session_scope_id,session_started_at,first_message_at,last_message_at,technical_duration_min,messages_total,user_messages,assistant_messages,average_message_length_chars,detected_category,detected_stage,primary_state,emotional_intensity,caregiver_capacity,response_mode,usefulness_score,applied_successfully,followup_needed,records_same_start_minute,timestamp_source
a699d4a2-b06f-48f9-b5c1-491c81f83cdc,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_01,2026-01-28 11:48:00,2026-01-28 11:49:00,2026-01-28 11:58:00,9.0,10,5,5,78.2,transicion_rigidez,focus_clarification,sensory_overload,0.823,0.639,reuse_response_memory,0.243,False,False,1,registro_operacional_suministrado
56fe05d3-b2bb-4a9d-a925-c289b34a66b8,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_02,2026-03-01 17:17:00,2026-03-01 17:18:00,2026-03-01 17:21:00,3.0,4,2,2,71.25,transicion_rigidez,adaptive_intervention,shutdown,0.773,0.228,llm_fallback,0.656,False,True,1,registro_operacional_suministrado
6b4123e0-2387-4803-b6ad-ede57296d400,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_03,2026-03-20 19:38:00,2026-03-20 19:39:00,2026-03-20 19:40:00,1.0,2,1,1,99.0,apoyo_general,case_learning,emotional_dysregulation,0.869,0.515,system_response,0.667,False,True,1,registro_operacional_suministrado
c60e8498-6409-4284-bf1a-bea458f6dd53,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_04,2026-05-16 14:17:00,2026-05-16 14:18:00,2026-05-16 14:19:00,1.0,2,1,1,84.0,disfuncion_ejecutiva,focus_clarification,executive_dysfunction,0.476,0.631,system_response,0.827,True,True,1,registro_operacional_suministrado
6e35aabe-f8bd-4060-9763-b89d64d62396,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_05,2026-05-18 20:17:00,2026-05-18 20:18:00,2026-05-18 20:21:00,3.0,4,2,2,82.5,sobrecarga_sensorial,closure_continuity,meltdown,0.808,0.292,system_response,0.84,True,True,1,registro_operacional_suministrado
fe677132-d8cd-41de-809e-0591da77b830,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_06,2026-05-21 02:17:00,2026-05-21 02:18:00,2026-05-21 02:27:00,9.0,10,5,5,80.3,sobrecarga_cuidador,reception_containment,parental_fatigue,0.759,0.238,system_response,0.549,False,False,1,registro_operacional_suministrado
f22bea92-c94a-474c-b37c-7cb3d6367cae,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_07,2026-05-24 06:17:00,2026-05-24 06:18:00,2026-05-24 06:21:00,3.0,4,2,2,71.75,apoyo_general,focus_clarification,emotional_dysregulation,0.563,0.304,reuse_response_memory,0.89,True,True,1,registro_operacional_suministrado
8ee35285-c5a2-49a5-ac9e-95d8c5dc4b27,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_08,2026-05-29 07:17:00,2026-05-29 07:18:00,2026-05-29 07:33:00,15.0,16,8,8,68.625,sueno_regulacion,reception_containment,general_distress,0.664,0.644,system_response,0.452,False,True,1,registro_operacional_suministrado
b99f4be7-b035-45e5-a185-0c58bb8a8fea,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_09,2026-05-27 21:00:00,2026-05-27 21:01:00,2026-05-27 21:04:00,3.0,4,2,2,83.75,crisis_activa,focus_clarification,emotional_dysregulation,0.826,0.746,reuse_response_memory,0.86,True,False,473,registro_operacional_suministrado
ea6874e2-9008-434d-a94d-ce864daec375,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_10,2026-05-31 03:00:00,2026-05-31 03:01:00,2026-05-31 03:04:00,3.0,4,2,2,80.75,sobrecarga_sensorial,closure_continuity,sensory_overload,0.647,0.661,llm_fallback,0.927,True,False,79,registro_operacional_suministrado
