week,start_date,end_date,sessions,period
1,2026-01-12,2026-01-18,14,active_intervention
2,2026-01-19,2026-01-25,20,active_intervention
3,2026-01-26,2026-02-01,20,active_intervention
4,2026-02-02,2026-02-08,17,active_intervention
5,2026-02-09,2026-02-15,17,active_intervention
6,2026-02-16,2026-02-22,23,active_intervention
7,2026-02-23,2026-03-01,25,active_intervention
8,2026-03-02,2026-03-08,30,active_intervention
9,2026-03-09,2026-03-15,35,active_intervention
10,2026-03-16,2026-03-22,62,active_intervention
11,2026-03-23,2026-03-29,48,active_intervention
12,2026-03-30,2026-04-05,61,active_intervention
13,2026-04-06,2026-04-12,69,active_intervention
14,2026-04-13,2026-04-19,93,active_intervention
15,2026-04-20,2026-04-26,116,active_intervention
16,2026-04-27,2026-05-03,177,active_intervention
17,2026-05-04,2026-05-10,224,active_intervention
18,2026-05-11,2026-05-17,274,active_intervention
