group_type,domain,n,pre_mean,pre_sd,post_mean,post_sd,mean_change,change_percent_group_means
Control,fisico,281,55.36349771225216,13.455210480086295,56.55821047280123,13.90184142192199,1.1947127605490588,2.1579430670339885
Control,psicologico,281,49.540332147093714,13.79137909527549,49.76275207591933,13.686471585566547,0.22241992882562334,0.44896737503740003
Control,relaciones,281,46.55990510083036,14.261881351122707,47.21233689205219,15.562814031879334,0.6524317912218265,1.4012738853503242
Control,entorno,281,50.244661921708186,12.97947273484484,51.96841637010676,13.937325952825473,1.7237544483985765,3.4307215582115904
Control,global_descriptive,281,50.427099220471106,6.8973097266199215,51.37542895271987,7.179054277407772,0.9483297322487716,1.8805954475045177
Experimental,fisico,281,54.257752923233355,12.550232115666324,61.50228774783934,13.590078962435932,7.244534824606,13.352073085031597
Experimental,psicologico,281,48.81376037959668,13.750054561779049,62.27758007117438,14.068725007241389,13.463819691577699,27.5820170109356
Experimental,relaciones,281,45.52194543297746,13.871734307926683,62.09964412811388,15.297977997934362,16.57769869513642,36.41693811074919
Experimental,entorno,281,52.3020462633452,13.129400377777918,61.020907473309606,13.829984769591126,8.718861209964412,16.670210503933653
Experimental,global_descriptive,281,50.22387624978818,6.794226520037542,61.7251048551093,7.329562951371972,11.50122860532113,22.899922236427603
