category,count,level,percent
apoyo_general,1335,sessions,20.656042085718706
crisis_activa,1142,sessions,17.669812780442516
sobrecarga_cuidador,978,sessions,15.132291505492807
sobrecarga_sensorial,910,sessions,14.080148537830727
disfuncion_ejecutiva,839,sessions,12.981587498065913
sueno_regulacion,653,sessions,10.103667027696115
transicion_rigidez,606,sessions,9.376450564753211
apoyo_general,9894,messages,20.75519194461926
crisis_activa,8442,messages,17.709251101321584
sobrecarga_cuidador,7146,messages,14.99056010069226
sobrecarga_sensorial,6596,messages,13.836794629746171
disfuncion_ejecutiva,6330,messages,13.278791692888609
sueno_regulacion,4930,messages,10.341934130480386
transicion_rigidez,4332,messages,9.087476400251731
