metric,value,unit,source
participants_total,562,personas,../03_ANALISIS/sample_summary.csv
participants_experimental,281,personas,../03_ANALISIS/sample_summary.csv
participants_control,281,personas,../03_ANALISIS/sample_summary.csv
analytical_families,281,familias,../03_ANALISIS/sample_summary.csv
active_intervention_weeks,18,semanas,../03_ANALISIS/sample_summary.csv
active_window_sessions,1325,sesiones,../03_ANALISIS/usage_summary.csv
active_window_messages,10212,mensajes,../03_ANALISIS/usage_summary.csv
technical_sessions_total,6463,sesiones,../03_ANALISIS/usage_summary.csv
technical_messages_total,47670,mensajes,../03_ANALISIS/usage_summary.csv
technical_session_duration_mean,6.3758,minutos,../03_ANALISIS/usage_summary.csv
stress_pre_experimental,17.88612099644128,puntaje_promedio,../03_ANALISIS/prepost_summary.csv
stress_post_experimental,12.455516014234876,puntaje_promedio,../03_ANALISIS/prepost_summary.csv
stress_improvement_percent_experimental,30.362116991643457,porcentaje,../03_ANALISIS/prepost_summary.csv
anxiety_pre_experimental,12.822064056939501,puntaje_promedio,../03_ANALISIS/prepost_summary.csv
anxiety_post_experimental,8.832740213523131,puntaje_promedio,../03_ANALISIS/prepost_summary.csv
anxiety_improvement_percent_experimental,31.112961421038026,porcentaje,../03_ANALISIS/prepost_summary.csv
depression_pre_experimental,12.519572953736654,puntaje_promedio,../03_ANALISIS/prepost_summary.csv
depression_post_experimental,8.807829181494663,puntaje_promedio,../03_ANALISIS/prepost_summary.csv
depression_improvement_percent_experimental,29.647527003979523,porcentaje,../03_ANALISIS/prepost_summary.csv
mspss_pre_experimental,2.69,puntaje_promedio,../03_ANALISIS/mspss_summary.csv
mspss_post_experimental,4.48,puntaje_promedio,../03_ANALISIS/mspss_summary.csv
mspss_improvement_percent_experimental,66.44,porcentaje,../03_ANALISIS/mspss_summary.csv
whoqol_global_pre_experimental,50.22387624978811,0-100,dashboard_whoqol.csv
whoqol_global_post_experimental,61.72510485510935,0-100,dashboard_whoqol.csv
whoqol_global_change_experimental,11.501228605321238,puntos,dashboard_whoqol.csv
nlp_historical_records,1020,registros,../03_ANALISIS/nlp_metrics_historical.csv
nlp_historical_categories,9,categorias,../03_ANALISIS/nlp_metrics_historical.csv
nlp_historical_accuracy,0.93,proporcion,../03_ANALISIS/nlp_metrics_historical.csv
nlp_operational_records,6463,registros,../03_ANALISIS/nlp_metrics.csv
nlp_operational_categories,7,categorias,../03_ANALISIS/nlp_metrics.csv
nlp_operational_accuracy_technical,1.0,proporcion,../03_ANALISIS/nlp_metrics.csv
