state,count,level,percent
general_distress,1729,sessions,26.75228222187839
shutdown,891,sessions,13.786167414513384
executive_dysfunction,879,sessions,13.60049512610243
emotional_dysregulation,838,sessions,12.966114807365
meltdown,679,sessions,10.505956985919852
sensory_overload,508,sessions,7.860126876063747
parental_fatigue,331,sessions,5.121460622002166
burnout,309,sessions,4.781061426582083
sleep_disruption,299,sessions,4.6263345195729535
general_distress,13166,messages,27.61904761904762
shutdown,6528,messages,13.694147262429201
executive_dysfunction,6510,messages,13.656387665198238
emotional_dysregulation,6190,messages,12.985105936647786
meltdown,4860,messages,10.195091252359974
sensory_overload,3654,messages,7.665198237885463
parental_fatigue,2342,messages,4.912943150828614
sleep_disruption,2228,messages,4.673799035032515
burnout,2192,messages,4.59827984057059
