check_id,area,check,status,resolution_or_note
DQ-01,Muestra,562 participantes; 281/281,OK,Valores canónicos
DQ-02,Temporalidad,18 semanas: 12-ene a 17-may-2026,OK,"Se excluyen del gráfico semanal PRE, cierre y POST"
DQ-03,Uso,"1,325 sesiones activas vs 6,463 técnicas",OK,Se mantienen como universos distintos
DQ-04,Uso,"10,212 mensajes activos vs 47,670 técnicos",OK,Se mantienen como universos distintos
DQ-05,MSPSS,2.69→4.48 experimental; 2.69→2.73 control,OK,Resultado oficial agregado
DQ-06,Apoyo auxiliar,No denominar MSPSS,OK,Medida secundaria separada
DQ-07,ANCOVA,Errores robustos HC3,OK,Sustituye archivo antiguo cluster_family
DQ-08,Dosis-respuesta,Mensajes y semanas activas no significativos en experimental,OK,rho=.021 p=.728; rho=.002 p=.975
DQ-09,PLN,Histórico y operativo separados,OK,"1,020/9/.93 vs 6,463/7/1.0 técnico"
DQ-10,Privacidad,Sin bases individuales ni corpus conversacional fila por fila,OK,Archivos granulares retirados del repositorio público
DQ-11,WHOQOL,Resultados agregados por dominio,OK,No publicar items/puntajes individuales
DQ-12,Confiabilidad,No publicar alfas no canónicas,OK,whoqol_reliability.csv debe eliminarse
