curation_id,dedupe_key,scope_key,scope_type,family_id,profile_id,session_scope_id,source_case_id,review_status,candidate_targets_json,review_notes,input_summary_json,detected_category,detected_intent,primary_state,secondary_states_json,conversation_domain,conversation_phase,speaker_role,signal_summary_json,response_text,response_structure_json,response_mode,generation_source,provider,model,used_stub_fallback,fallback_reason,llm_enabled,llm_quality_score,llm_approved,metadata_json,created_at,updated_at
cur_a699d4a2-b06,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_1,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_01,a699d4a2-b06f-48f9-b5c1-491c81f83cdc,util,"[""transicion_rigidez"", ""sensory_overload"", ""rutinas""]",requiere ajuste de tono,"{""first_user_message"": ""Cuando hay que cambiar de actividad todo se complica."", ""turns_total"": 10, ""user_turns"": 5, ""assistant_turns"": 5, ""conversation_length_type"": ""long""}",transicion_rigidez,urgent_support,sensory_overload,"[""burnout""]",rutinas,profundizacion,caregiver,"{""emotional_intensity_band"": ""alta"", ""caregiver_capacity_band"": ""media"", ""followup_needed"": false}",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: mostrar qué sigue.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",reuse_response_memory,llm_fallback,openai,controlled_support_v1,False,generative_assist_triggered,True,0.861,True,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Cuando hay que cambiar de actividad todo se complica.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.""}, {""speaker"": ""user"", ""turn"": 5, ""text"": ""En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.""}, {""speaker"": ""assistant"", ""turn"": 6, ""text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más.""}, {""speaker"": ""user"", ""turn"": 7, ""text"": ""También noto que Damián se bloquea cuando le doy muchas instrucciones.""}, {""speaker"": ""assistant"", ""turn"": 8, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora.""}, {""speaker"": ""user"", ""turn"": 9, ""text"": ""Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.""}, {""speaker"": ""assistant"", ""turn"": 10, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: mostrar qué sigue.""}], ""transcript_text"": ""user: Cuando hay que cambiar de actividad todo se complica.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.\nuser: Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.\nuser: En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.\nassistant: No necesitas resolverlo todo de golpe. Veamos qué está pesando más.\nuser: También noto que Damián se bloquea cuando le doy muchas instrucciones.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora.\nuser: Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: mostrar qué sigue."", ""case_metrics"": {""turns_total"": 10, ""user_turns"": 5, ""assistant_turns"": 5}, ""nlp_labels"": {""emotion_primary"": ""sensory_overload"", ""category"": ""transicion_rigidez"", ""sentiment"": ""negative"", ""language"": ""es-MX""}}",2026-01-28T11:48:00,2026-01-28T11:48:00
cur_56fe05d3-b2b,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_2,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_02,56fe05d3-b2bb-4a9d-a925-c289b34a66b8,util,"[""transicion_rigidez"", ""shutdown"", ""sueno""]",apta para reutilización parcial,"{""first_user_message"": ""Cada cambio le cuesta muchísimo a Damián."", ""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2, ""conversation_length_type"": ""short""}",transicion_rigidez,general_support,shutdown,"[""meltdown"", ""executive_dysfunction""]",sueno,inicio,caregiver,"{""emotional_intensity_band"": ""alta"", ""caregiver_capacity_band"": ""baja"", ""followup_needed"": true}",No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: mostrar qué sigue.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",llm_fallback,retrieval_augmented,hybrid,gpt_support_curated,False,intent_disambiguation,True,0.619,False,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Cada cambio le cuesta muchísimo a Damián.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""También noto que Damián se bloquea cuando le doy muchas instrucciones.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: mostrar qué sigue.""}], ""transcript_text"": ""user: Cada cambio le cuesta muchísimo a Damián.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora.\nuser: También noto que Damián se bloquea cuando le doy muchas instrucciones.\nassistant: No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: mostrar qué sigue."", ""case_metrics"": {""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2}, ""nlp_labels"": {""emotion_primary"": ""shutdown"", ""category"": ""transicion_rigidez"", ""sentiment"": ""improving"", ""language"": ""es-MX""}}",2026-03-01T17:17:00,2026-03-01T17:17:00
cur_6b4123e0-238,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_3,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_03,6b4123e0-2387-4803-b6ad-ede57296d400,util,"[""apoyo_general"", ""emotional_dysregulation"", ""sueno""]",requiere ajuste de tono,"{""first_user_message"": ""Probamos lo anterior y ayudó un poco, pero no del todo."", ""turns_total"": 2, ""user_turns"": 1, ""assistant_turns"": 1, ""conversation_length_type"": ""short""}",apoyo_general,school_support,emotional_dysregulation,"[""general_distress""]",sueno,profundizacion,caregiver,"{""emotional_intensity_band"": ""alta"", ""caregiver_capacity_band"": ""media"", ""followup_needed"": true}","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: anotar lo que sí ayudó.","{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",system_response,system,openai,controlled_support_v1,False,response_curated,True,0.599,False,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Probamos lo anterior y ayudó un poco, pero no del todo.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: anotar lo que sí ayudó.""}], ""transcript_text"": ""user: Probamos lo anterior y ayudó un poco, pero no del todo.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: anotar lo que sí ayudó."", ""case_metrics"": {""turns_total"": 2, ""user_turns"": 1, ""assistant_turns"": 1}, ""nlp_labels"": {""emotion_primary"": ""emotional_dysregulation"", ""category"": ""apoyo_general"", ""sentiment"": ""mixed"", ""language"": ""es-MX""}}",2026-03-20T19:38:00,2026-03-20T19:38:00
cur_c60e8498-640,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_4,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_04,c60e8498-6409-4284-bf1a-bea458f6dd53,util,"[""disfuncion_ejecutiva"", ""executive_dysfunction"", ""regulacion_emocional""]",apta para reutilización parcial,"{""first_user_message"": ""Damián no puede empezar ni una tarea sencilla."", ""turns_total"": 2, ""user_turns"": 1, ""assistant_turns"": 1, ""conversation_length_type"": ""short""}",disfuncion_ejecutiva,urgent_support,executive_dysfunction,"[""burnout"", ""meltdown""]",regulacion_emocional,inicio,caregiver,"{""emotional_intensity_band"": ""media"", ""caregiver_capacity_band"": ""media"", ""followup_needed"": true}",No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: hacer solo el primer paso.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",system_response,retrieval_augmented,local,gpt_support_curated,False,response_curated,False,0.621,False,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Damián no puede empezar ni una tarea sencilla.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: hacer solo el primer paso.""}], ""transcript_text"": ""user: Damián no puede empezar ni una tarea sencilla.\nassistant: No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: hacer solo el primer paso."", ""case_metrics"": {""turns_total"": 2, ""user_turns"": 1, ""assistant_turns"": 1}, ""nlp_labels"": {""emotion_primary"": ""executive_dysfunction"", ""category"": ""disfuncion_ejecutiva"", ""sentiment"": ""negative"", ""language"": ""es-MX""}}",2026-05-16T14:17:00,2026-05-16T14:17:00
cur_6e35aabe-f8b,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_5,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_05,6e35aabe-f8bd-4060-9763-b89d64d62396,util,"[""sobrecarga_sensorial"", ""meltdown"", ""escuela""]",apta para reutilización parcial,"{""first_user_message"": ""No sé si fue por el ambiente, pero Damián ya no aguantó nada."", ""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2, ""conversation_length_type"": ""short""}",sobrecarga_sensorial,clarification_request,meltdown,"[""sensory_overload""]",escuela,seguimiento,caregiver,"{""emotional_intensity_band"": ""alta"", ""caregiver_capacity_band"": ""baja"", ""followup_needed"": true}",Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: retirar estímulos innecesarios.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",system_response,system,openai,controlled_support_v1,False,intent_disambiguation,False,0.616,False,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""No sé si fue por el ambiente, pero Damián ya no aguantó nada.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: retirar estímulos innecesarios.""}], ""transcript_text"": ""user: No sé si fue por el ambiente, pero Damián ya no aguantó nada.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora.\nuser: En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: retirar estímulos innecesarios."", ""case_metrics"": {""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2}, ""nlp_labels"": {""emotion_primary"": ""meltdown"", ""category"": ""sobrecarga_sensorial"", ""sentiment"": ""improving"", ""language"": ""es-MX""}}",2026-05-18T20:17:00,2026-05-18T20:17:00
cur_fe677132-d8c,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_6,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_06,fe677132-d8cd-41de-809e-0591da77b830,neutral,"[""sobrecarga_cuidador"", ""parental_fatigue"", ""escuela""]",mantener con validación breve,"{""first_user_message"": ""Yo ya no puedo más, siento que todo recae en mí."", ""turns_total"": 10, ""user_turns"": 5, ""assistant_turns"": 5, ""conversation_length_type"": ""long""}",sobrecarga_cuidador,clarification_request,parental_fatigue,[],escuela,profundizacion,caregiver,"{""emotional_intensity_band"": ""alta"", ""caregiver_capacity_band"": ""baja"", ""followup_needed"": false}","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: bajar autoexigencia por hoy.","{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",system_response,retrieval_augmented,local,controlled_support_v1,False,memory_retrieval_required,False,0.835,True,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Yo ya no puedo más, siento que todo recae en mí.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""También noto que Damián se bloquea cuando le doy muchas instrucciones.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple.""}, {""speaker"": ""user"", ""turn"": 5, ""text"": ""También noto que Damián se bloquea cuando le doy muchas instrucciones.""}, {""speaker"": ""assistant"", ""turn"": 6, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple.""}, {""speaker"": ""user"", ""turn"": 7, ""text"": ""En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.""}, {""speaker"": ""assistant"", ""turn"": 8, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.""}, {""speaker"": ""user"", ""turn"": 9, ""text"": ""Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.""}, {""speaker"": ""assistant"", ""turn"": 10, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: bajar autoexigencia por hoy.""}], ""transcript_text"": ""user: Yo ya no puedo más, siento que todo recae en mí.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple.\nuser: También noto que Damián se bloquea cuando le doy muchas instrucciones.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple.\nuser: También noto que Damián se bloquea cuando le doy muchas instrucciones.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple.\nuser: En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.\nuser: Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: bajar autoexigencia por hoy."", ""case_metrics"": {""turns_total"": 10, ""user_turns"": 5, ""assistant_turns"": 5}, ""nlp_labels"": {""emotion_primary"": ""parental_fatigue"", ""category"": ""sobrecarga_cuidador"", ""sentiment"": ""mixed"", ""language"": ""es-MX""}}",2026-05-21T02:17:00,2026-05-21T02:17:00
cur_f22bea92-c94,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_7,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_07,f22bea92-c94a-474c-b37c-7cb3d6367cae,revisar,"[""apoyo_general"", ""emotional_dysregulation"", ""cuidado_familiar""]",apta para reutilización parcial,"{""first_user_message"": ""Funcionó un rato nada más."", ""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2, ""conversation_length_type"": ""short""}",apoyo_general,strategy_feedback,emotional_dysregulation,"[""executive_dysfunction""]",cuidado_familiar,inicio,caregiver,"{""emotional_intensity_band"": ""media"", ""caregiver_capacity_band"": ""baja"", ""followup_needed"": true}",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: anotar lo que sí ayudó.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",reuse_response_memory,llm_fallback,local,controlled_support_v1,False,memory_retrieval_required,True,0.901,True,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Funcionó un rato nada más.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""También noto que Damián se bloquea cuando le doy muchas instrucciones.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: anotar lo que sí ayudó.""}], ""transcript_text"": ""user: Funcionó un rato nada más.\nassistant: No necesitas resolverlo todo de golpe. Veamos qué está pesando más.\nuser: También noto que Damián se bloquea cuando le doy muchas instrucciones.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: anotar lo que sí ayudó."", ""case_metrics"": {""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2}, ""nlp_labels"": {""emotion_primary"": ""emotional_dysregulation"", ""category"": ""apoyo_general"", ""sentiment"": ""mixed"", ""language"": ""es-MX""}}",2026-05-24T06:17:00,2026-05-24T06:17:00
cur_8ee35285-c5a,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_8,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_08,8ee35285-c5a2-49a5-ac9e-95d8c5dc4b27,neutral,"[""sueno_regulacion"", ""general_distress"", ""rutinas""]",requiere ajuste de tono,"{""first_user_message"": ""Damián está batallando muchísimo para dormir."", ""turns_total"": 16, ""user_turns"": 8, ""assistant_turns"": 8, ""conversation_length_type"": ""long""}",sueno_regulacion,emotional_venting,general_distress,[],rutinas,seguimiento,caregiver,"{""emotional_intensity_band"": ""media"", ""caregiver_capacity_band"": ""media"", ""followup_needed"": true}",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: bajar las luces.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",system_response,retrieval_augmented,openai,controlled_support_v1,False,generative_assist_triggered,True,0.668,False,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Damián está batallando muchísimo para dormir.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""Yo también ya estaba muy saturada y siento que eso empeoró todo.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora.""}, {""speaker"": ""user"", ""turn"": 5, ""text"": ""También noto que Damián se bloquea cuando le doy muchas instrucciones.""}, {""speaker"": ""assistant"", ""turn"": 6, ""text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora.""}, {""speaker"": ""user"", ""turn"": 7, ""text"": ""Lo intenté antes y funcionó solo un rato.""}, {""speaker"": ""assistant"", ""turn"": 8, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple.""}, {""speaker"": ""user"", ""turn"": 9, ""text"": ""Cuando intento explicarle en ese momento se enoja más.""}, {""speaker"": ""assistant"", ""turn"": 10, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple.""}, {""speaker"": ""user"", ""turn"": 11, ""text"": ""Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.""}, {""speaker"": ""assistant"", ""turn"": 12, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.""}, {""speaker"": ""user"", ""turn"": 13, ""text"": ""Lo intenté antes y funcionó solo un rato.""}, {""speaker"": ""assistant"", ""turn"": 14, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.""}, {""speaker"": ""user"", ""turn"": 15, ""text"": ""En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.""}, {""speaker"": ""assistant"", ""turn"": 16, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: bajar las luces.""}], ""transcript_text"": ""user: Damián está batallando muchísimo para dormir.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora.\nuser: Yo también ya estaba muy saturada y siento que eso empeoró todo.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora.\nuser: También noto que Damián se bloquea cuando le doy muchas instrucciones.\nassistant: Estoy contigo. Vamos a ir por una sola acción posible ahora.\nuser: Lo intenté antes y funcionó solo un rato.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple.\nuser: Cuando intento explicarle en ese momento se enoja más.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple.\nuser: Creo que lo más difícil con Damián fue el ruido y que ya venía cansado.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.\nuser: Lo intenté antes y funcionó solo un rato.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.\nuser: En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: bajar las luces."", ""case_metrics"": {""turns_total"": 16, ""user_turns"": 8, ""assistant_turns"": 8}, ""nlp_labels"": {""emotion_primary"": ""general_distress"", ""category"": ""sueno_regulacion"", ""sentiment"": ""mixed"", ""language"": ""es-MX""}}",2026-05-29T07:17:00,2026-05-29T07:17:00
cur_b99f4be7-b03,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_9,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_09,b99f4be7-b035-45e5-a185-0c58bb8a8fea,util,"[""crisis_activa"", ""emotional_dysregulation"", ""rutinas""]",apta para reutilización parcial,"{""first_user_message"": ""Estoy agotada. Damián explotó otra vez por algo pequeño."", ""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2, ""conversation_length_type"": ""short""}",crisis_activa,school_support,emotional_dysregulation,[],rutinas,inicio,caregiver,"{""emotional_intensity_band"": ""alta"", ""caregiver_capacity_band"": ""alta"", ""followup_needed"": false}","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: alejar un estímulo intenso.","{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",reuse_response_memory,llm_fallback,openai,beto_emotion_router,False,intent_disambiguation,False,0.816,True,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""Estoy agotada. Damián explotó otra vez por algo pequeño.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""Lo intenté antes y funcionó solo un rato.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: alejar un estímulo intenso.""}], ""transcript_text"": ""user: Estoy agotada. Damián explotó otra vez por algo pequeño.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.\nuser: Lo intenté antes y funcionó solo un rato.\nassistant: Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: alejar un estímulo intenso."", ""case_metrics"": {""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2}, ""nlp_labels"": {""emotion_primary"": ""emotional_dysregulation"", ""category"": ""crisis_activa"", ""sentiment"": ""mixed"", ""language"": ""es-MX""}}",2026-05-27T21:00:00,2026-05-27T21:00:00
cur_ea6874e2-900,dea6a23c-20c9-4a58-990f-b32aac6b1169_832dbc18-88d3-4472-a925-1e237f75dc87_10,dea6a23c-20c9-4a58-990f-b32aac6b1169,family,dea6a23c-20c9-4a58-990f-b32aac6b1169,832dbc18-88d3-4472-a925-1e237f75dc87,session_dea6a23c_10,ea6874e2-9008-434d-a94d-ce864daec375,util,"[""sobrecarga_sensorial"", ""sensory_overload"", ""rutinas""]",útil en contexto similar,"{""first_user_message"": ""No sé si fue por el ambiente, pero Damián ya no aguantó nada."", ""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2, ""conversation_length_type"": ""short""}",sobrecarga_sensorial,clarification_request,sensory_overload,"[""emotional_dysregulation""]",rutinas,profundizacion,caregiver,"{""emotional_intensity_band"": ""media"", ""caregiver_capacity_band"": ""alta"", ""followup_needed"": false}",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: bajar ruido o luz por unos minutos.,"{""opening"": ""validación"", ""core"": ""orientación"", ""close"": ""microacción""}",llm_fallback,llm_fallback,local,beto_emotion_router,False,response_curated,True,0.739,True,"{""full_transcript"": [{""speaker"": ""user"", ""turn"": 1, ""text"": ""No sé si fue por el ambiente, pero Damián ya no aguantó nada.""}, {""speaker"": ""assistant"", ""turn"": 2, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple.""}, {""speaker"": ""user"", ""turn"": 3, ""text"": ""Cuando intento explicarle en ese momento se enoja más.""}, {""speaker"": ""assistant"", ""turn"": 4, ""text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: bajar ruido o luz por unos minutos.""}], ""transcript_text"": ""user: No sé si fue por el ambiente, pero Damián ya no aguantó nada.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple.\nuser: Cuando intento explicarle en ese momento se enoja más.\nassistant: Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: bajar ruido o luz por unos minutos."", ""case_metrics"": {""turns_total"": 4, ""user_turns"": 2, ""assistant_turns"": 2}, ""nlp_labels"": {""emotion_primary"": ""sensory_overload"", ""category"": ""sobrecarga_sensorial"", ""sentiment"": ""negative"", ""language"": ""es-MX""}}",2026-05-31T03:00:00,2026-05-31T03:00:00
