code,instrument,items_or_fields,structure,score_or_format,public_policy
SOCIO14,Sociodemográfico,14,Campos de caracterización,Variables categóricas/descriptivas,No se publican registros individuales
DASS21,DASS-21 contextualizado,21,3 dimensiones; 7 reactivos por dimensión,Puntuación por dimensión,No se reproduce la matriz individual
MSPSS12,MSPSS,12,Apoyo social percibido,Resultado oficial armonizado 1-5,Solo agregado oficial
APOYO_AUX,Índice auxiliar de apoyo,1,Indicador auxiliar,Escala 1-5,No corresponde a MSPSS
WHOQOL26,WHOQOL-BREF,26,4 dominios,Dominios transformados a 0-100,Texto oficial y respuestas individuales no publicados
UTIL10,EUA-neuroguIA,10,Usabilidad y aceptabilidad,Likert 1-5,Solo agregado descriptivo
APOYO10,EEP-neuroguIA,10,Empatía y acompañamiento,Instrumento complementario,Sin respuestas individuales públicas
EAPC12,EAPC-neuroguIA,12,Accesibilidad y pertinencia cultural,Instrumento complementario,Sin respuestas individuales públicas
PRE5,Pretest descriptivo,5,Condiciones iniciales y expectativas,Campos descriptivos,Solo indicadores agregados
POST5,Postest descriptivo,5,Experiencia final y continuidad,Campos descriptivos,Solo indicadores agregados
