indicator,value,unit,note
participants_total,562,personas,Muestra final
participants_experimental,281,personas,Grupo experimental
participants_control,281,personas,Grupo control
analytical_families,281,familias,Unidad familiar analítica
preparatory_week_start,2026-01-05,fecha,Semana preparatoria
preparatory_week_end,2026-01-11,fecha,Semana preparatoria
active_intervention_start,2026-01-12,fecha,Inicio de intervención
active_intervention_end,2026-05-17,fecha,Fin de intervención
active_intervention_weeks,18,semanas,Ventana experimental activa
posttest_closure_start,2026-05-18,fecha,Inicio de cierre/postest
posttest_closure_end,2026-05-21,fecha,Fin de cierre/postest
