indicator,value,unit,scope,note
sessions_active_window,1325,sesiones,12-ene-2026 a 17-may-2026,Ventana experimental activa
messages_active_window,10212,mensajes,12-ene-2026 a 17-may-2026,Ventana experimental activa
sessions_pre_intervention,15,sesiones,antes del 12-ene-2026,Fuera de ventana activa
sessions_closure,209,sesiones,18-may-2026 a 21-may-2026,Cierre/postest
sessions_after_closure,4914,sesiones,después del 21-may-2026,Fuera de ventana activa
sessions_outside_active_window,5138,sesiones,pre + cierre + post,"15 + 209 + 4,914"
sessions_technical_total,6463,sesiones,corpus técnico completo,No confundir con ventana experimental
messages_technical_total,47670,mensajes,corpus técnico completo,No confundir con ventana experimental
technical_session_duration_mean,6.3758,minutos,corpus técnico completo,Duración técnica promedio
engagement_historical,58.5,0-100,histórico agregado,Indicador histórico
contextual_continuity_historical,36.26,0-100,histórico agregado,Indicador histórico
